ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,SETEMBRO,QUA,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,10:13:00
2019,JULHO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,13:33:00
2019,SETEMBRO,QUI,BARCARENA,BARCARENA,ESTABELECIMENTO DE ENSINO,,,11:00:00
2019,AGOSTO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:58:00
2019,ABRIL,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:35:00
2019,MAIO,QUI,VILA DOS CABANOS,BARCARENA,CASA COMERCIAL,"-1,507329489","-48,62300992",12:00:00
2019,AGOSTO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,11:58:00
2019,MARCO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,09:15:00
2019,OUTUBRO,SEX,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,61995316",14:00:00
2019,SETEMBRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:00:00
2019,OUTUBRO,DOM,OUTROS,VILA DOS CABANOS,RESIDENCIA PARTICULAR,,,22:09:00
2019,DEZEMBRO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,13:50:00
2019,DEZEMBRO,SEG,VILA DOS CABANOS,BARCARENA,ESTABELECIMENTO DE ENSINO,"-1,5069499","-48,621702",10:55:00
2019,NOVEMBRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:29:00
2019,AGOSTO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,21:00:00
2019,DEZEMBRO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:52:00
2019,OUTUBRO,SAB,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:00:00
2019,SETEMBRO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,13:30:00
2019,OUTUBRO,SEX,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:37:00
2019,OUTUBRO,SEX,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,61995316",15:00:00
2019,SETEMBRO,TER,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,16:19:00
2019,ABRIL,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:00:00
2019,JUNHO,DOM,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",12:00:00
2019,FEVEREIRO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,08:30:00
2019,AGOSTO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:03:00
2019,AGOSTO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:01:00
2019,AGOSTO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,12:00:00
2019,ABRIL,TER,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,12:00:00
2019,FEVEREIRO,SEG,CENTRO DE BARCARENA,BARCARENA,CONDOMINIO RESIDENCIAL,"-1,512231231","-48,619953156",10:00:00
2019,JUNHO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:35:00
2019,MAIO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,16:53:00
2019,ABRIL,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,19:00:00
2019,JUNHO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:35:00
2019,MARCO,TER,BETANIA,BARCARENA,RESIDENCIA PARTICULAR,,,10:21:00
2019,JANEIRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:33:00
2019,MAIO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,09:33:00
2019,AGOSTO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,18:30:00
2019,OUTUBRO,DOM,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:00:00
2019,NOVEMBRO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:25:00
2019,DEZEMBRO,TER,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,567180207","-48,75526428",16:00:00
2019,OUTUBRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,16:40:00
2019,SETEMBRO,SEX,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,11:37:00
2019,SETEMBRO,DOM,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,20:00:00
2019,DEZEMBRO,DOM,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,13:00:00
2019,NOVEMBRO,QUA,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,61995316",15:00:00
2019,DEZEMBRO,DOM,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,12:00:00
2019,ABRIL,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:00:00
2019,MAIO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,09:17:00
2019,AGOSTO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,00:00:00
2019,JUNHO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:58:00
2019,MAIO,QUI,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,11:11:00
2019,AGOSTO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,00:00:00
2019,MAIO,SEX,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:57:00
2019,JANEIRO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:00:00
2019,JANEIRO,QUA,BARCARENA,BARCARENA,"CAFE,BAR,ETC",,,10:05:00
2019,MAIO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,12:27:00
2019,MARCO,QUA,BARCARENA,BARCARENA,"CAFE,BAR,ETC",,,00:30:00
2019,ABRIL,DOM,VILA DOS CABANOS,BARCARENA,CASA COMERCIAL,"-1,5291367","-48,622945",03:00:00
2019,FEVEREIRO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,21:28:00
2019,JUNHO,QUA,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:25:00
2019,JANEIRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:06:00
2019,JANEIRO,QUI,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",23:10:00
2019,JULHO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,17:44:00
2019,AGOSTO,QUA,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:22:00
2019,FEVEREIRO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:00:00
2019,MARCO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:06:00
2019,ABRIL,SEX,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,16:13:00
2019,JUNHO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:35:00
2019,FEVEREIRO,SAB,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,16:18:00
2019,MAIO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:26:00
2019,JUNHO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:35:00
2019,MARCO,DOM,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,521335","-48,6619283",14:00:00
2019,SETEMBRO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,08:30:00
2019,AGOSTO,SAB,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,61995316",22:00:00
2019,JULHO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:47:00
2019,MARCO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,13:54:00
2019,JUNHO,SAB,BARCARENA,BARCARENA,VIA PUBLICA,,,20:30:00
2019,MAIO,QUI,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,566916853","-48,75594854",22:00:00
2020,JULHO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:00:00
2020,OUTUBRO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:16:00
2020,AGOSTO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,18:00:00
2020,OUTUBRO,TER,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5671921","-48,7570429",17:40:00
2020,NOVEMBRO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:24:00
2020,AGOSTO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:47:00
2020,JUNHO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5247833","-48,5330533",18:00:00
2020,SETEMBRO,SAB,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,22:00:00
2020,JANEIRO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:55:00
2020,DEZEMBRO,SEX,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,14:17:00
2020,SETEMBRO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,09:00:00
2020,NOVEMBRO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:39:00
2020,NOVEMBRO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,15:26:00
2020,JULHO,TER,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,4966705","-48,6152867",10:00:00
2020,OUTUBRO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:00:00
2020,DEZEMBRO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,13:52:00
2020,DEZEMBRO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:41:00
2020,DEZEMBRO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:24:00
2020,JULHO,SEX,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",18:00:00
2020,DEZEMBRO,DOM,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,15:45:00
2020,OUTUBRO,QUA,BARCARENA,BARCARENA,OUTROS,,,21:30:00
2020,FEVEREIRO,SAB,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,-1.5077179,-48.6222375,21:00:00
2020,JULHO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,06:00:00
2020,OUTUBRO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:00:00
2020,OUTUBRO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:50:00
2020,NOVEMBRO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:04:00
2020,NOVEMBRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,12:17:00
2020,JUNHO,DOM,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:13:00
2020,JANEIRO,DOM,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",17:30:00
2020,FEVEREIRO,SAB,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,61995316",01:00:00
2020,JUNHO,TER,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:44:00
2020,JULHO,QUA,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,10:57:00
2020,NOVEMBRO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:08:00
2020,AGOSTO,QUA,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:00:00
2020,JULHO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:38:00
2020,JUNHO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:00:00
2020,MARCO,SEX,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,11:48:00
2020,JANEIRO,QUA,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,15:25:00
2020,FEVEREIRO,QUI,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:23:00
2020,FEVEREIRO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:18:00
2020,JANEIRO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,19:00:00
2020,MARCO,QUA,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:38:00
2020,JANEIRO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,02:32:00
2020,FEVEREIRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,20:00:00
2020,FEVEREIRO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:00:00
2020,ABRIL,TER,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,09:45:00
2020,ABRIL,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:08:00
2020,JANEIRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:30:00
2020,FEVEREIRO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,13:54:00
2020,FEVEREIRO,QUI,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:32:00
2020,FEVEREIRO,QUA,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,14:26:00
2020,JANEIRO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,10:45:00
2020,JULHO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,10:37:00
2020,JULHO,DOM,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,18:30:00
2020,FEVEREIRO,QUI,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,15:30:00
2020,MARCO,QUI,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:35:00
2020,NOVEMBRO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5671962945376","-48,756251335144",23:40:00
2021,JUNHO,QUA,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",09:40:00
2021,OUTUBRO,DOM,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",07:00:00
2021,DEZEMBRO,SEG,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",21:00:00
2021,AGOSTO,SEX,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",10:00:00
2021,ABRIL,TER,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",17:30:00
2021,JULHO,SEX,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",08:55:00
2021,NOVEMBRO,SAB,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5762767","-48,608325",14:00:00
2021,JANEIRO,SAB,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,16:03:00
2021,SETEMBRO,SAB,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5140995","-48,6144171",10:00:00
2021,SETEMBRO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",12:00:00
2021,JANEIRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:58:00
2021,OUTUBRO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,6626117","-48,6523983",10:00:00
2021,JANEIRO,SAB,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,16:03:00
2021,JANEIRO,QUA,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",16:00:00
2021,DEZEMBRO,SEX,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",13:00:00
2021,DEZEMBRO,TER,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",20:00:00
2021,AGOSTO,TER,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",11:55:00
2021,AGOSTO,DOM,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",19:00:00
2021,OUTUBRO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",17:30:00
2021,AGOSTO,SEX,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",16:00:00
2021,FEVEREIRO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",10:00:00
2021,NOVEMBRO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",21:30:00
2021,AGOSTO,DOM,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",19:00:00
2021,AGOSTO,SEG,CENTRO DE BARCARENA,BARCARENA,HOSPITAL,"-1,512231231","-48,619953156",08:00:00
2021,SETEMBRO,QUI,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",21:00:00
2021,OUTUBRO,QUA,CENTRO DE BARCARENA,BARCARENA,CASA COMERCIAL,"-1,512231231","-48,619953156",19:30:00
2021,MAIO,DOM,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",12:00:00
2021,AGOSTO,DOM,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",19:00:00
2021,DEZEMBRO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,4966705","-48,6152867",18:30:00
2021,JUNHO,QUA,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",10:55:00
2021,JANEIRO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:53:00
2021,JANEIRO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:53:00
2021,JANEIRO,QUI,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:56:00
2021,OUTUBRO,DOM,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",00:00:00
2021,AGOSTO,DOM,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",19:00:00
2021,AGOSTO,TER,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",06:30:00
2021,AGOSTO,TER,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",10:00:00
2021,JUNHO,SEX,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",17:00:00
2021,OUTUBRO,SAB,CENTRO DE BARCARENA,BARCARENA,"MAR, RIO, LAGOA","-1,512231231","-48,619953156",13:59:59.999997
2021,AGOSTO,SEG,CENTRO DE BARCARENA,BARCARENA,ESTABELECIMENTO DE ENSINO,"-1,512231231","-48,619953156",21:00:00
2021,JULHO,DOM,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",06:00:00
2021,JULHO,QUI,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",10:45:00
2021,JUNHO,SEX,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",17:00:00
